0
['Chardonnay']
['Pinot Noir']
['Cabernet Sauvignon']
['Syrah/Shiraz']
['Riesling']
['Merlot']
['Sauvignon Blanc']
['Sangiovese']
['Tempranillo']
['Malbec']
['Nebbiolo']
['Glera/Prosecco']
['Cabernet Franc']
['Zinfandel']
['Barbera']
['Carmenère']
['Gewürztraminer']
['Spätburgunder']
['Chenin Blanc']
['Pinot Grigio']
['Grenache']
['Primitivo']
['Viognier']
['Montepulciano']
['Pinot Gris']
['Touriga Nacional']
['Gamay Noir']
['Grüner Veltliner']
['Pinot Blanc']
['Muscat/Moscato']
['Garnacha']
['Grauburgunder']
['Pinotage']
['Dolcetto']
['Zweigelt']
['Cortese']
"[""Nero d'Avola""]"
['Weissburgunder']
['Petite Sirah']
['Tannat']
['Verdejo']
['Albariño']
['Petit Verdot']
['Lambrusco']
['Refosco dal Peduncolo Rosso']
['Vermentino']
['Muscat Blanc']
['Aglianico']
['Silvaner/Sylvaner']
['Negroamaro']
['Sémillon']
['Lagrein']
['Chasselas']
['Pinot Nero']
['Garganega']
['Mencia']
['Blaufränkisch']
['Fiano']
['Aligoté']
